sigma_hit	X_gamma_s	X_err_s	X_chi2_s	X_gamma1	X_err1	X_gamma2	X_err2	X_gamma_eff	X_chi2_dl	X_p95_lo	X_p95_hi	Z_gamma_s	Z_err_s	Z_chi2_s	Z_gamma1	Z_err1	Z_gamma2	Z_err2	Z_gamma_eff	Z_chi2_dl	Z_p95_lo	Z_p95_hi
0.050	0.0242	0.0002	4.7532	0.0082	0.0003	0.0340	0.0005	0.0226	3.6833	-0.1668	0.1674	0.0241	0.0002	4.5583	0.0084	0.0003	0.0339	0.0005	0.0226	3.4310	-0.1669	0.1697
0.055	0.0260	0.0002	4.9105	0.0084	0.0003	0.0365	0.0005	0.0242	3.6106	-0.1722	0.1722	0.0260	0.0002	4.5923	0.0086	0.0003	0.0361	0.0005	0.0243	3.3130	-0.1716	0.1747
0.060	0.0279	0.0003	4.9373	0.0088	0.0003	0.0389	0.0005	0.0259	3.6013	-0.1775	0.1783	0.0280	0.0002	4.4765	0.0096	0.0004	0.0388	0.0006	0.0263	3.2624	-0.1759	0.1807
0.065	0.0299	0.0003	4.7971	0.0094	0.0003	0.0414	0.0006	0.0278	3.4743	-0.1826	0.1849	0.0299	0.0003	4.3002	0.0107	0.0004	0.0419	0.0007	0.0283	3.0263	-0.1819	0.1867
0.070	0.0319	0.0003	4.6779	0.0107	0.0004	0.0446	0.0007	0.0299	3.3951	-0.1886	0.1906	0.0318	0.0003	4.4051	0.0117	0.0005	0.0450	0.0008	0.0302	3.0241	-0.1881	0.1929
0.075	0.0338	0.0003	4.5258	0.0108	0.0004	0.0468	0.0006	0.0315	3.1107	-0.1949	0.1974	0.0337	0.0003	4.4446	0.0127	0.0005	0.0483	0.0008	0.0321	3.0483	-0.1945	0.2001
0.080	0.0358	0.0003	4.5347	0.0116	0.0004	0.0496	0.0007	0.0334	3.2181	-0.2025	0.2044	0.0356	0.0003	4.4441	0.0140	0.0006	0.0517	0.0010	0.0340	2.9698	-0.2006	0.2075
0.085	0.0378	0.0003	4.4150	0.0130	0.0005	0.0528	0.0008	0.0356	3.1766	-0.2098	0.2116	0.0375	0.0003	4.4433	0.0145	0.0006	0.0544	0.0010	0.0358	2.9422	-0.2079	0.2147
0.090	0.0398	0.0003	4.2618	0.0143	0.0006	0.0558	0.0009	0.0377	3.1713	-0.2173	0.2187	0.0393	0.0003	4.5387	0.0146	0.0006	0.0565	0.0010	0.0374	2.9265	-0.2146	0.2224
0.095	0.0418	0.0004	4.2030	0.0153	0.0006	0.0586	0.0010	0.0397	3.1474	-0.2249	0.2258	0.0412	0.0004	4.4295	0.0151	0.0006	0.0591	0.0010	0.0391	2.7327	-0.2220	0.2303
0.100	0.0438	0.0004	4.1676	0.0158	0.0007	0.0610	0.0011	0.0415	3.0835	-0.2324	0.2327	0.0431	0.0004	4.6690	0.0160	0.0006	0.0622	0.0011	0.0410	3.0986	-0.2302	0.2383
0.105	0.0457	0.0004	4.0877	0.0166	0.0007	0.0636	0.0011	0.0434	2.9959	-0.2401	0.2405	0.0449	0.0004	4.6332	0.0162	0.0006	0.0645	0.0011	0.0425	2.9603	-0.2383	0.2459
0.110	0.0476	0.0004	4.0825	0.0173	0.0008	0.0663	0.0012	0.0453	2.9398	-0.2477	0.2482	0.0468	0.0004	4.6496	0.0166	0.0007	0.0669	0.0011	0.0442	2.9091	-0.2461	0.2536
0.115	0.0495	0.0004	4.0044	0.0175	0.0008	0.0686	0.0011	0.0469	2.7113	-0.2551	0.2560	0.0487	0.0004	4.6412	0.0171	0.0007	0.0694	0.0012	0.0460	2.9092	-0.2546	0.2611
