D	ang	X_gamma_s	X_err_s	X_gamma1	X_err1	X_gamma2	X_err2	X_gamma_eff	X_p95_lo	X_p95_hi	Z_gamma_s	Z_err_s	Z_gamma1	Z_err1	Z_gamma2	Z_err2	Z_gamma_eff	Z_p95_lo	Z_p95_hi
7.0	0	0.0344	0.0002	0.0084	0.0007	0.0379	0.0003	0.0327	-0.1818	0.1790	0.0345	0.0002	0.0080	0.0008	0.0378	0.0003	0.0328	-0.1811	0.1824
7.0	20	0.0349	0.0002	0.0055	0.0005	0.0378	0.0003	0.0323	-0.1908	0.1906	0.0350	0.0002	0.0067	0.0006	0.0384	0.0003	0.0327	-0.1897	0.1903
7.0	40	0.0362	0.0002	0.0079	0.0007	0.0406	0.0004	0.0339	-0.2349	0.2385	0.0368	0.0002	0.0092	0.0010	0.0411	0.0005	0.0349	-0.2295	0.2309
7.0	60	0.0476	0.0005	0.0158	0.0012	0.0636	0.0015	0.0447	-0.5495	0.5353	0.0491	0.0004	0.0192	0.0014	0.0667	0.0018	0.0470	-0.5608	0.6047
13.0	0	0.0378	0.0003	0.0130	0.0005	0.0528	0.0008	0.0356	-0.2098	0.2116	0.0375	0.0003	0.0145	0.0006	0.0544	0.0010	0.0358	-0.2079	0.2147
13.0	20	0.0378	0.0003	0.0129	0.0005	0.0529	0.0008	0.0355	-0.2210	0.2198	0.0375	0.0004	0.0128	0.0005	0.0536	0.0009	0.0352	-0.2209	0.2170
13.0	40	0.0393	0.0004	0.0110	0.0005	0.0524	0.0007	0.0360	-0.2633	0.2649	0.0392	0.0004	0.0145	0.0007	0.0572	0.0013	0.0372	-0.2630	0.2601
13.0	60	0.0519	0.0006	0.0136	0.0010	0.0693	0.0016	0.0467	-0.7475	0.7890	0.0519	0.0006	0.0143	0.0008	0.0721	0.0014	0.0467	-0.7449	0.8805
20.0	0	0.0419	0.0005	0.0108	0.0004	0.0625	0.0008	0.0371	-0.2387	0.2436	0.0426	0.0005	0.0104	0.0003	0.0615	0.0008	0.0374	-0.2388	0.2430
20.0	20	0.0418	0.0005	0.0102	0.0003	0.0616	0.0008	0.0366	-0.2467	0.2443	0.0419	0.0005	0.0112	0.0004	0.0634	0.0009	0.0372	-0.2442	0.2406
20.0	40	0.0429	0.0006	0.0113	0.0005	0.0641	0.0012	0.0380	-0.2734	0.2689	0.0430	0.0006	0.0123	0.0005	0.0650	0.0012	0.0387	-0.2575	0.2697
20.0	60	0.0496	0.0006	0.0100	0.0006	0.0641	0.0010	0.0426	-4.3647	0.6364	0.0504	0.0005	0.0001	0.0000	0.0678	0.0008	0.0001	-0.4516	12.0729
30.0	0	0.0487	0.0007	0.0081	0.0003	0.0672	0.0008	0.0389	-0.2757	0.2749	0.0484	0.0007	0.0078	0.0003	0.0672	0.0008	0.0383	-0.2779	0.2740
30.0	20	0.0479	0.0008	0.0078	0.0003	0.0674	0.0008	0.0379	-0.2622	0.2655	0.0477	0.0007	0.0077	0.0003	0.0661	0.0008	0.0378	-0.2640	0.2618
30.0	40	0.0485	0.0008	0.0085	0.0004	0.0678	0.0012	0.0391	-0.2525	0.2587	0.0489	0.0008	0.0075	0.0004	0.0665	0.0010	0.0386	-0.2380	0.2870
30.0	60	0.0521	0.0003	0.0090	0.0106	0.0552	0.0013	0.0460	-7.1428	8.9359	0.0579	0.0003	NaN	NaN	NaN	NaN	NaN	-6.9204	25.7785
