sigma_hit	X3_sigma	X3_err	Z3_sigma	Z3_err	X4_sigma1	X4_err1	X4_sigma2	X4_err2	X4_sigma_eff	Z4_sigma1	Z4_err1	Z4_sigma2	Z4_err2	Z4_sigma_eff
0.050	0.0780	0.0008	0.0775	0.0009	0.0096	0.0003	0.0376	0.0007	0.0255	0.0095	0.0003	0.0370	0.0007	0.0253	
0.055	0.0843	0.0008	0.0839	0.0009	0.0101	0.0003	0.0400	0.0008	0.0272	0.0102	0.0003	0.0398	0.0008	0.0272	
0.060	0.0905	0.0008	0.0903	0.0009	0.0107	0.0003	0.0426	0.0009	0.0291	0.0112	0.0003	0.0428	0.0008	0.0293	
0.065	0.0968	0.0008	0.0967	0.0009	0.0117	0.0003	0.0455	0.0009	0.0312	0.0121	0.0003	0.0458	0.0009	0.0313	
0.070	0.1028	0.0008	0.1031	0.0009	0.0124	0.0004	0.0482	0.0009	0.0332	0.0127	0.0003	0.0486	0.0009	0.0332	
0.075	0.1091	0.0008	0.1093	0.0009	0.0131	0.0004	0.0507	0.0010	0.0351	0.0135	0.0003	0.0514	0.0009	0.0351	
0.080	0.1153	0.0008	0.1157	0.0009	0.0136	0.0004	0.0531	0.0010	0.0369	0.0143	0.0003	0.0543	0.0009	0.0371	
0.085	0.1214	0.0007	0.1220	0.0008	0.0145	0.0004	0.0560	0.0011	0.0390	0.0150	0.0004	0.0570	0.0010	0.0390	
0.090	0.1275	0.0008	0.1282	0.0009	0.0156	0.0004	0.0591	0.0011	0.0411	0.0157	0.0004	0.0596	0.0011	0.0409	
0.095	0.1338	0.0008	0.1344	0.0009	0.0165	0.0004	0.0618	0.0011	0.0431	0.0163	0.0004	0.0624	0.0011	0.0428	
0.100	0.1399	0.0009	0.1406	0.0008	0.0175	0.0004	0.0648	0.0011	0.0452	0.0170	0.0004	0.0650	0.0011	0.0447	
0.105	0.1461	0.0009	0.1470	0.0009	0.0181	0.0005	0.0675	0.0012	0.0471	0.0175	0.0005	0.0674	0.0013	0.0465	
0.110	0.1522	0.0008	0.1532	0.0008	0.0190	0.0005	0.0704	0.0013	0.0491	0.0181	0.0005	0.0699	0.0013	0.0483	
0.115	0.1582	0.0009	0.1595	0.0009	0.0195	0.0005	0.0728	0.0014	0.0509	0.0188	0.0005	0.0725	0.0014	0.0502	
0.120	0.1645	0.0011	0.1657	0.0010	0.0202	0.0006	0.0756	0.0015	0.0529	0.0196	0.0006	0.0753	0.0015	0.0522	
0.122	NaN	NaN	NaN	NaN	0.0192	0.0006	0.0757	0.0014	NaN	0.0198	0.0006	0.0762	0.0015	NaN	
0.125	0.1706	0.0010	0.1719	0.0010	0.0208	0.0006	0.0783	0.0015	0.0548	0.0204	0.0006	0.0781	0.0015	0.0542	
0.130	0.1767	0.0010	0.1780	0.0011	0.0216	0.0006	0.0811	0.0015	0.0567	0.0211	0.0006	0.0809	0.0015	0.0561	
0.135	0.1828	0.0010	0.1843	0.0011	0.0223	0.0006	0.0837	0.0016	0.0586	0.0218	0.0005	0.0835	0.0014	0.0580	
0.140	0.1889	0.0011	0.1905	0.0010	0.0227	0.0007	0.0861	0.0018	0.0604	0.0223	0.0006	0.0859	0.0016	0.0598	
0.145	0.1951	0.0012	0.1967	0.0010	0.0235	0.0007	0.0887	0.0018	0.0623	0.0229	0.0007	0.0884	0.0017	0.0616	
0.150	0.2012	0.0013	0.2028	0.0011	0.0243	0.0007	0.0915	0.0019	0.0643	0.0236	0.0007	0.0911	0.0018	0.0636	
0.155	0.2073	0.0014	0.2090	0.0011	0.0252	0.0007	0.0946	0.0019	0.0664	0.0244	0.0007	0.0938	0.0019	0.0655	
0.160	0.2134	0.0013	0.2150	0.0011	0.0260	0.0008	0.0975	0.0019	0.0684	0.0251	0.0008	0.0964	0.0020	0.0674	
0.165	0.2195	0.0014	0.2212	0.0011	0.0266	0.0008	0.1000	0.0021	0.0702	0.0258	0.0008	0.0991	0.0021	0.0693	
0.170	0.2257	0.0013	0.2273	0.0012	0.0273	0.0008	0.1029	0.0021	0.0721	0.0268	0.0008	0.1022	0.0021	0.0714	
0.175	0.2319	0.0013	0.2335	0.0012	0.0279	0.0008	0.1055	0.0021	0.0740	0.0277	0.0008	0.1052	0.0021	0.0734	
0.180	0.2381	0.0015	0.2397	0.0013	0.0284	0.0009	0.1081	0.0022	0.0758	0.0285	0.0009	0.1081	0.0023	0.0754	
0.185	0.2442	0.0015	0.2459	0.0015	0.0290	0.0009	0.1108	0.0023	0.0776	0.0293	0.0009	0.1111	0.0023	0.0774	
0.190	0.2503	0.0015	0.2521	0.0015	0.0295	0.0009	0.1134	0.0024	0.0795	0.0301	0.0009	0.1140	0.0024	0.0794	
0.195	0.2565	0.0014	0.2583	0.0014	0.0301	0.0010	0.1159	0.0024	0.0813	0.0310	0.0009	0.1169	0.0024	0.0814	
0.200	0.2626	0.0015	0.2644	0.0014	0.0306	0.0010	0.1185	0.0025	0.0831	0.0318	0.0009	0.1197	0.0025	0.0834	
