sigma_hit	gamma_s	err_gamma_s	gamma1	gamma2	A1	A2	ratio_A1A2	corr	gamma_eff
0.050	0.0733	0.0023	0.0744	0.0744	3327.7	49.9	66.74	-0.2079	0.0744
0.055	0.0791	0.0026	0.0801	0.0802	3110.0	48.5	64.12	-0.6687	0.0801
0.060	0.0850	0.0028	0.0850	0.0852	3020.7	1.7	1771.05	-0.7124	0.0850
0.065	0.0909	0.0031	0.0909	0.0909	2.4	2857.7	0.00	-1.0000	0.0909
0.070	0.0966	0.0033	0.0966	0.0966	2713.0	2.5	1099.45	-1.0000	0.0966
0.075	0.1026	0.0036	nan	nan	nan	nan	nan	nan	nan
0.080	0.1086	0.0038	nan	nan	nan	nan	nan	nan	nan
0.085	0.1145	0.0041	nan	nan	nan	nan	nan	nan	nan
0.090	0.1204	0.0043	nan	nan	nan	nan	nan	nan	nan
0.095	0.1266	0.0046	nan	nan	nan	nan	nan	nan	nan
0.100	0.1327	0.0049	0.0000	0.1327	0.0	2122.0	0.00	0.5152	0.1327
0.105	0.1388	0.0051	0.0000	0.1389	0.0	2052.5	0.00	0.5115	0.1389
0.110	0.1449	0.0052	0.0000	0.1449	0.0	1992.5	0.00	0.4647	0.1449
0.115	0.1508	0.0055	0.0000	0.1508	0.0	1944.4	0.00	0.4383	0.1508
0.120	0.1571	0.0057	nan	nan	nan	nan	nan	nan	nan
0.125	0.1635	0.0059	nan	nan	nan	nan	nan	nan	nan
0.130	0.1696	0.0061	nan	nan	nan	nan	nan	nan	nan
0.135	0.1759	0.0063	nan	nan	nan	nan	nan	nan	nan
0.140	0.1822	0.0065	0.1827	0.1827	1667.0	46.7	35.70	-1.0000	0.1827
0.145	0.1887	0.0067	0.1891	0.1892	1653.8	26.2	63.24	-0.9705	0.1891
0.150	0.1950	0.0069	0.1954	0.1955	1628.6	24.2	67.20	-0.9667	0.1954
0.155	0.2013	0.0071	0.2016	0.2016	1596.5	27.1	58.91	-1.0000	0.2016
0.160	0.2077	0.0072	0.2080	0.2080	1577.5	21.8	72.49	-0.9998	0.2080
0.165	0.2140	0.0074	0.2140	0.2140	1582.6	0.2	9812.89	-1.0000	0.2140
0.170	0.2206	0.0076	nan	nan	nan	nan	nan	nan	nan
0.175	0.2270	0.0078	nan	nan	nan	nan	nan	nan	nan
0.180	0.2333	0.0080	nan	nan	nan	nan	nan	nan	nan
0.185	0.2395	0.0082	0.0000	0.2395	0.0	1524.4	0.00	nan	0.2395
0.190	0.2459	0.0084	0.2458	0.2459	1.1	1511.0	0.00	-0.9997	0.2459
0.195	0.2523	0.0085	0.2524	0.2526	1492.6	7.2	207.19	-0.9552	0.2524
0.200	0.2586	0.0087	0.2588	0.2588	7.9	1477.7	0.01	-0.9999	0.2588
