sigma_hit	X3_gamma	X3_err	X3_p95_lo	X3_p95_hi	Z3_gamma	Z3_err	Z3_p95_lo	Z3_p95_hi	X4_gamma1	X4_err1	X4_gamma2	X4_err2	X4_p95_lo	X4_p95_hi	Z4_gamma1	Z4_err1	Z4_gamma2	Z4_err2	Z4_p95_lo	Z4_p95_hi
0.000	0.0162	0.0003	NaN	NaN	0.0164	0.0004	NaN	NaN	0.0023	0.0000	0.0136	0.0003	NaN	NaN	0.0023	0.0000	0.0136	0.0003	NaN	NaN	
0.050	0.0733	0.0023	-0.5522	0.5102	0.0724	0.0021	-0.4961	0.5619	0.0074	0.0007	0.0265	0.0009	-0.1040	0.1035	0.0072	0.0008	0.0261	0.0009	-0.1057	0.1045	
0.055	0.0791	0.0026	-0.5523	0.5113	0.0783	0.0024	-0.4970	0.5616	0.0076	0.0007	0.0287	0.0008	-0.1072	0.1068	0.0076	0.0008	0.0282	0.0009	-0.1086	0.1082	
0.060	0.0850	0.0028	-0.5563	0.5145	0.0844	0.0027	-0.4963	0.5667	0.0081	0.0007	0.0309	0.0009	-0.1107	0.1109	0.0084	0.0009	0.0303	0.0010	-0.1122	0.1113	
0.065	0.0909	0.0031	-0.5589	0.5194	0.0907	0.0030	-0.4971	0.5707	0.0089	0.0008	0.0329	0.0010	-0.1146	0.1151	0.0090	0.0010	0.0322	0.0011	-0.1163	0.1153	
0.070	0.0966	0.0033	-0.5628	0.5203	0.0968	0.0033	-0.4996	0.5718	0.0095	0.0009	0.0351	0.0011	-0.1187	0.1192	0.0102	0.0011	0.0349	0.0013	-0.1211	0.1195	
0.075	0.1026	0.0036	-0.5655	0.5234	0.1027	0.0035	-0.5036	0.5670	0.0098	0.0008	0.0371	0.0010	-0.1228	0.1235	0.0116	0.0012	0.0378	0.0015	-0.1255	0.1241	
0.080	0.1086	0.0038	-0.5702	0.5285	0.1090	0.0038	-0.5079	0.5732	0.0102	0.0009	0.0392	0.0010	-0.1275	0.1283	0.0126	0.0013	0.0404	0.0017	-0.1296	0.1285	
0.085	0.1145	0.0041	-0.5736	0.5324	0.1151	0.0040	-0.5114	0.5806	0.0112	0.0010	0.0414	0.0012	-0.1325	0.1328	0.0130	0.0013	0.0424	0.0017	-0.1346	0.1340	
0.090	0.1204	0.0043	-0.5754	0.5376	0.1213	0.0043	-0.5179	0.5847	0.0130	0.0013	0.0441	0.0015	-0.1372	0.1373	0.0124	0.0012	0.0435	0.0015	-0.1397	0.1389	
0.095	0.1266	0.0046	-0.5820	0.5437	0.1274	0.0045	-0.5196	0.5853	0.0137	0.0013	0.0462	0.0015	-0.1424	0.1425	0.0131	0.0013	0.0458	0.0017	-0.1444	0.1439	
0.100	0.1327	0.0049	-0.5870	0.5479	0.1334	0.0047	-0.5234	0.5890	0.0143	0.0013	0.0479	0.0015	-0.1476	0.1475	0.0153	0.0014	0.0497	0.0019	-0.1492	0.1486	
0.105	0.1388	0.0051	-0.5917	0.5534	0.1398	0.0049	-0.5312	0.5951	0.0149	0.0014	0.0503	0.0016	-0.1521	0.1527	0.0144	0.0013	0.0506	0.0017	-0.1546	0.1541	
0.110	0.1449	0.0052	-0.5962	0.5597	0.1460	0.0052	-0.5410	0.6008	0.0149	0.0015	0.0517	0.0016	-0.1574	0.1577	0.0148	0.0013	0.0528	0.0017	-0.1596	0.1594	
0.115	0.1508	0.0055	-0.6029	0.5680	0.1522	0.0054	-0.5501	0.6056	0.0147	0.0013	0.0536	0.0015	-0.1625	0.1631	0.0144	0.0012	0.0540	0.0015	-0.1651	0.1645	
0.120	0.1571	0.0057	-0.6077	0.5744	0.1585	0.0057	-0.5590	0.6163	0.0148	0.0015	0.0555	0.0016	-0.1677	0.1686	0.0157	0.0015	0.0567	0.0019	-0.1704	0.1700	
0.125	0.1635	0.0059	-0.6117	0.5836	0.1647	0.0059	-0.5684	0.6226	0.0163	0.0016	0.0584	0.0018	-0.1729	0.1742	0.0160	0.0015	0.0583	0.0019	-0.1761	0.1754	
0.130	0.1696	0.0061	-0.6197	0.5914	0.1710	0.0061	-0.5767	0.6269	0.0158	0.0015	0.0596	0.0017	-0.1782	0.1795	0.0181	0.0017	0.0618	0.0022	-0.1811	0.1809	
0.135	0.1759	0.0063	-0.6241	0.5968	0.1774	0.0063	-0.5876	0.6331	0.0163	0.0016	0.0617	0.0017	-0.1837	0.1852	0.0195	0.0016	0.0648	0.0023	-0.1867	0.1860	
0.140	0.1822	0.0065	-0.6303	0.6027	0.1839	0.0065	-0.5933	0.6366	0.0157	0.0013	0.0634	0.0015	-0.1891	0.1902	0.0187	0.0015	0.0660	0.0020	-0.1921	0.1912	
0.145	0.1887	0.0067	-0.6359	0.6113	0.1902	0.0067	-0.6022	0.6464	0.0169	0.0014	0.0659	0.0016	-0.1944	0.1959	0.0188	0.0015	0.0678	0.0020	-0.1970	0.1971	
0.150	0.1950	0.0069	-0.6431	0.6215	0.1966	0.0068	-0.6093	0.6560	0.0172	0.0014	0.0678	0.0016	-0.1996	0.2016	0.0174	0.0013	0.0681	0.0016	-0.2025	0.2026	
0.155	0.2013	0.0071	-0.6489	0.6298	0.2032	0.0070	-0.6149	0.6627	0.0183	0.0015	0.0701	0.0017	-0.2050	0.2066	0.0183	0.0014	0.0704	0.0017	-0.2079	0.2083	
0.160	0.2077	0.0072	-0.6564	0.6406	0.2095	0.0072	-0.6269	0.6708	0.0189	0.0016	0.0721	0.0018	-0.2107	0.2123	0.0184	0.0016	0.0720	0.0019	-0.2136	0.2142	
0.165	0.2140	0.0074	-0.6669	0.6508	0.2158	0.0074	-0.6392	0.6813	0.0174	0.0015	0.0727	0.0016	-0.2162	0.2178	0.0186	0.0016	0.0738	0.0019	-0.2193	0.2195	
0.170	0.2206	0.0076	-0.6742	0.6646	0.2220	0.0075	-0.6491	0.6906	0.0184	0.0015	0.0752	0.0017	-0.2215	0.2236	0.0187	0.0015	0.0752	0.0017	-0.2250	0.2249	
0.175	0.2270	0.0078	-0.6849	0.6758	0.2286	0.0077	-0.6616	0.7025	0.0200	0.0015	0.0784	0.0017	-0.2266	0.2291	0.0203	0.0015	0.0780	0.0018	-0.2302	0.2305	
0.180	0.2333	0.0080	-0.6982	0.6873	0.2349	0.0079	-0.6701	0.7176	0.0204	0.0015	0.0806	0.0018	-0.2322	0.2346	0.0198	0.0017	0.0792	0.0019	-0.2356	0.2360	
0.185	0.2395	0.0082	-0.7124	0.6985	0.2413	0.0082	-0.6815	0.7287	0.0209	0.0017	0.0827	0.0020	-0.2381	0.2399	0.0206	0.0016	0.0816	0.0019	-0.2408	0.2412	
