Evento,Detector,X,Y,Z
0,0,109.261,350.589,-213.668
0,1,174.292,420.725,-177.679
0,2,-99999,-99999,-99999
0,3,-99999,-99999,-99999
1,0,-131.4,350.803,-19.542
1,1,-122.294,420.31,-27.237
1,2,-110.604,510.211,-37.0506
1,3,-101.286,580.606,-44.5823
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,-99999,-99999,-99999
2,3,-238.349,580.626,-95.0486
3,0,243.197,350.617,-147.886
3,1,223.084,420.522,-154.638
3,2,197.13,510.809,-163.443
3,3,177.215,580.139,-170.156
4,0,156.773,350.543,-117.454
4,1,128.605,420.27,-103.998
4,2,92.2753,510.635,-86.6408
4,3,63.7563,580.817,-73.0708
5,0,198.132,350.948,-170.201
5,1,85.9417,420.844,-196.842
5,2,-58.49,510.896,-231.192
5,3,-99999,-99999,-99999
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-99999,-99999,-99999
7,1,-99999,-99999,-99999
7,2,-147.31,510.638,-240.281
7,3,-87.0631,580.7,-219.608
8,0,-225.726,350.579,154.375
8,1,-176.023,420.93,205.772
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,-99999,-99999,-99999
9,1,-99999,-99999,-99999
9,2,-99999,-99999,-99999
9,3,-99999,-99999,-99999
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-99999,-99999,-99999
10,3,-99999,-99999,-99999
11,0,-172.916,350.801,207.367
11,1,-169.503,420.9,213.443
11,2,-165.156,510.222,221.245
11,3,-161.657,580.403,227.408
12,0,-99999,-99999,-99999
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,110.979,350.754,-36.8236
13,1,156.211,419.85,-20.6131
13,2,215.677,510.672,0.670128
13,3,-99999,-99999,-99999
14,0,-99999,-99999,-99999
14,1,-99999,-99999,-99999
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,-99999,-99999,-99999
16,1,-99999,-99999,-99999
16,2,-99999,-99999,-99999
16,3,-99999,-99999,-99999
17,0,-14.3233,350.42,75.2363
17,1,-1.11753,420.033,87.7595
17,2,16.813,510.711,104.585
17,3,30.5591,580.325,117.653
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-99999,-99999,-99999
19,1,217.555,420.899,116.149
19,2,70.4161,510.849,70.2367
19,3,-44.0935,580.849,34.5113
20,0,-99999,-99999,-99999
20,1,-99999,-99999,-99999
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-246.663,350.723,-48.5764
21,1,-218.283,420.907,-53.8044
21,2,-182.174,510.352,-60.4633
21,3,-153.974,580.168,-65.7231
22,0,-99999,-99999,-99999
22,1,-99999,-99999,-99999
22,2,-99999,-99999,-99999
22,3,-99999,-99999,-99999
23,0,-99999,-99999,-99999
23,1,-175.968,420.06,235.485
23,2,-182.235,510.915,180.464
23,3,-187.022,580.488,138.31
24,0,-99999,-99999,-99999
24,1,-99999,-99999,-99999
24,2,-99999,-99999,-99999
24,3,-99999,-99999,-99999
25,0,-99999,-99999,-99999
25,1,-202.115,420.742,226.54
25,2,-222.588,510.226,122.613
25,3,-238.664,580.613,40.8749
26,0,-99999,-99999,-99999
26,1,-99999,-99999,-99999
26,2,-99999,-99999,-99999
26,3,-99999,-99999,-99999
27,0,-99999,-99999,-99999
27,1,-99999,-99999,-99999
27,2,-99999,-99999,-99999
27,3,-99999,-99999,-99999
28,0,-99999,-99999,-99999
28,1,-99999,-99999,-99999
28,2,-99999,-99999,-99999
28,3,-99999,-99999,-99999
29,0,197.694,350.573,-231.889
29,1,160.365,420.15,-210.115
29,2,111.547,510.746,-181.967
29,3,74.176,580.829,-160.295
30,0,-81.5392,350.731,-50.0573
30,1,-86.1038,420.731,-126.907
30,2,-91.9722,510.462,-225.379
30,3,-99999,-99999,-99999
31,0,-99999,-99999,-99999
