Evento,Detector,X,Y,Z
0,0,127.268,350.91,-206.255
0,1,155.97,420.458,-189.938
0,2,239.212,620.91,-142.484
0,3,-99999,-99999,-99999
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,234.193,620.812,51.1856
1,3,209.075,690.625,57.6669
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,-99999,-99999,-99999
2,3,-99999,-99999,-99999
3,0,-25.0176,350.882,-71.4308
3,1,53.9967,420.764,-125.628
3,2,-99999,-99999,-99999
3,3,-99999,-99999,-99999
4,0,-219.923,350.642,214.281
4,1,-249.51,415.713,226.863
4,2,-99999,-99999,-99999
4,3,-99999,-99999,-99999
5,0,-101.625,350.924,-44.8177
5,1,-100.1,420.618,13.9723
5,2,-95.7688,620.847,182.898
5,3,-94.2634,690.694,241.813
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-97.447,350.852,-45.932
7,1,-34.6401,420.704,-55.7479
7,2,144.849,620.408,-83.7623
7,3,208.144,690.704,-93.6444
8,0,2.85009,350.259,-109.497
8,1,-25.8115,420.815,-110.208
8,2,-106.874,620.351,-112.195
8,3,-135.254,690.259,-112.897
9,0,-99999,-99999,-99999
9,1,-99999,-99999,-99999
9,2,-99.0248,620.937,203.535
9,3,-39.3058,690.684,142.726
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-99999,-99999,-99999
10,3,-190.462,690.347,-232.402
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-99999,-99999,-99999
11,3,-99999,-99999,-99999
12,0,-170.835,350.915,177.958
12,1,-212.242,420.061,187.502
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,-3.06865,350.126,-11.1397
13,1,1.4987,420.612,5.65533
13,2,14.4758,620.417,53.238
13,3,19.0725,690.612,69.9558
14,0,-99999,-99999,-99999
14,1,-99999,-99999,-99999
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,-104.809,350.884,-223.452
15,1,-202.646,420.884,-223.385
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,-131.164,350.935,-35.1995
16,1,-194.407,420.935,16.9826
16,2,-99999,-99999,-99999
16,3,-99999,-99999,-99999
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,-99999,-99999,-99999
17,3,-99999,-99999,-99999
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,84.6791,620.677,-238.745
18,3,98.5341,690.758,-189.383
19,0,-9.61364,350.461,133.889
19,1,-43.4885,420.101,131.453
19,2,-141.159,620.91,124.431
19,3,-175.346,690.82,122.128
20,0,162.101,350.409,98.8253
20,1,158.343,420.606,87.1224
20,2,147.551,620.901,53.7247
20,3,143.78,690.803,42.11
21,0,-1.58162,349.403,87.0102
21,1,21.77,420.906,75.4432
21,2,86.9628,620.436,43.2219
21,3,109.91,690.812,31.8798
22,0,236.109,350.909,-67.8354
