Evento,Detector,X,Y,Z
0,0,109.431,350.672,-215.236
0,1,179.683,420.476,-176.348
0,2,-99999,-99999,-99999
0,3,-99999,-99999,-99999
1,0,243.918,350.919,50.5272
1,1,218.209,420.839,94.9453
1,2,172.235,545.678,174.244
1,3,146.394,615.839,218.863
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,-99999,-99999,-99999
2,3,-99999,-99999,-99999
3,0,-99999,-99999,-99999
3,1,-207.412,420.523,-110.604
3,2,-123.473,545.444,-155.269
3,3,-76.838,614.968,-180.518
4,0,-199.246,350.802,161.153
4,1,-208.583,420.802,163.031
4,2,-225.308,545.901,166.395
4,3,-234.629,615.703,168.301
5,0,-233.139,350.868,124.62
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-99999,-99999,-99999
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-189.952,615.903,239.855
7,0,-99999,-99999,-99999
7,1,-36.9646,420.916,218.047
7,2,-94.3191,545.582,159.738
7,3,-126.638,615.833,126.89
8,0,153.579,350.515,-15.4845
8,1,142.42,420.515,-2.20268
8,2,122.537,545.709,21.5829
8,3,111.386,615.903,35.008
9,0,-40.2907,350.626,84.127
9,1,-102.437,420.776,87.1071
9,2,-212.934,545.551,92.4364
9,3,-99999,-99999,-99999
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-87.0867,545.935,131.878
10,3,-127.535,615.288,60.8852
11,0,-121.021,350.902,35.182
11,1,-106.332,420.902,36.1244
11,2,-80.198,545.804,37.8403
11,3,-65.4772,615.902,38.8361
12,0,-99999,-99999,-99999
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,66.1872,350.748,117.676
13,1,111.55,420.832,116.788
13,2,192.161,545.412,115.195
13,3,237.716,615.832,114.296
14,0,-46.8606,350.775,45.5076
14,1,-64.7123,420.85,104.522
14,2,-96.2203,545.925,209.543
14,3,-99999,-99999,-99999
15,0,-89.6158,350.414,225.365
15,1,-39.0313,420.348,161.624
15,2,51.3139,545.609,47.2864
15,3,102.125,615.935,-16.5853
16,0,-224.589,350.868,-104.941
16,1,-158.576,420.671,-59.9233
16,2,-40.5565,545.539,20.3954
16,3,25.2338,615.209,65.0967
17,0,-99999,-99999,-99999
17,1,-139.585,420.929,-211.634
