Evento,Detector,X,Y,Z
0,0,109.357,350.657,-214.337
0,1,174.324,420.931,-178.209
0,2,-99999,-99999,-99999
0,3,-99999,-99999,-99999
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,-99999,-99999,-99999
1,3,-99999,-99999,-99999
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,-174.882,670.687,96.0901
2,3,-136.344,740.922,55.2888
3,0,-109.244,350.9,86.4992
3,1,-110.232,420.701,81.7739
3,2,-113.785,670.501,64.8616
3,3,-114.802,740.9,60.0787
4,0,39.4801,350.836,-224.778
4,1,-68.3298,420.891,-224.299
4,2,-99999,-99999,-99999
4,3,-99999,-99999,-99999
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-99999,-99999,-99999
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-99999,-99999,-99999
7,1,237.509,420.808,-174.242
7,2,-99999,-99999,-99999
7,3,-99999,-99999,-99999
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,68.0155,670.412,-228.586
8,3,65.3747,740.916,-183.014
9,0,-99999,-99999,-99999
9,1,-99999,-99999,-99999
9,2,-23.1944,670.765,27.411
9,3,-117.871,740.824,9.55722
10,0,-0.751302,350.89,202.089
10,1,-63.2083,420.89,116.333
10,2,-99999,-99999,-99999
10,3,-99999,-99999,-99999
11,0,205.131,350.917,95.4683
11,1,168.343,420.834,66.8861
11,2,37.1571,670.917,-34.9828
11,3,0.547908,740.834,-63.5895
12,0,93.0054,350.782,125.715
12,1,33.0805,420.673,36.3091
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,-99999,-99999,-99999
13,1,-99999,-99999,-99999
13,2,-99999,-99999,-99999
13,3,-99999,-99999,-99999
14,0,-99999,-99999,-99999
14,1,236.364,420.935,-106.277
14,2,-51.2844,670.738,-126.898
14,3,-131.734,740.607,-132.679
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-142.796,670.851,111.45
15,3,-129.879,739.361,51.4544
16,0,-99999,-99999,-99999
16,1,-99999,-99999,-99999
16,2,-99999,-99999,-99999
16,3,-99999,-99999,-99999
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,-163.459,670.871,-184.856
17,3,-93.7835,740.935,-229.168
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-43.0614,350.842,-183.793
19,1,-54.374,420.842,-236.916
19,2,-99999,-99999,-99999
19,3,-99999,-99999,-99999
20,0,-99999,-99999,-99999
20,1,-99999,-99999,-99999
20,2,128.715,670.517,-126.348
20,3,63.4651,740.862,-160.572
21,0,-99999,-99999,-99999
21,1,-99999,-99999,-99999
21,2,-99999,-99999,-99999
21,3,-99999,-99999,-99999
22,0,67.0501,350.923,85.3104
