Evento,Detector,X,Y,Z
0,0,110.961,350.937,-213.224
0,1,186.252,420.874,-171.447
0,2,-99999,-99999,-99999
0,3,-99999,-99999,-99999
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,-232.158,570.636,215.989
1,3,-99999,-99999,-99999
2,0,-24.0191,350.502,-78.6223
2,1,-22.0647,420.668,-125.655
2,2,-17.892,570.917,-226.144
2,3,-99999,-99999,-99999
3,0,-99999,-99999,-99999
3,1,-99999,-99999,-99999
3,2,-66.7553,570.641,-194.19
3,3,-48.7386,640.82,-164.84
4,0,-99999,-99999,-99999
4,1,-99999,-99999,-99999
4,2,-99999,-99999,-99999
4,3,220.433,640.847,-90.9887
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-99999,-99999,-99999
6,0,180.127,350.752,-79.7191
6,1,215.593,420.587,-48.0311
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,222.766,350.936,179.304
7,1,-99999,-99999,-99999
7,2,-99999,-99999,-99999
7,3,-99999,-99999,-99999
8,0,-99999,-99999,-99999
8,1,234.35,420.791,68.5021
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,-183.863,350.71,-35.163
9,1,-191.698,420.228,-18.1775
9,2,-208.612,570.614,18.7114
9,3,-216.443,640.421,35.8359
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-99999,-99999,-99999
10,3,-99999,-99999,-99999
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-99999,-99999,-99999
11,3,-99999,-99999,-99999
12,0,-110.236,350.719,-48.1608
12,1,-86.2379,420.719,-38.7194
12,2,-35.3195,570.719,-17.2259
12,3,-11.7184,640.719,-6.59053
13,0,-99999,-99999,-99999
13,1,-65.0589,420.899,88.9772
13,2,-229.88,570.929,-16.8743
13,3,-248.152,640.833,-56.9423
14,0,158.135,350.854,150.328
14,1,163.302,420.342,85.5528
14,2,175.322,570.927,-54.6732
14,3,180.664,640.927,-119.525
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,232.382,570.915,-81.8714
15,3,199.533,640.915,-54.6671
16,0,197.303,350.574,-56.2229
16,1,204.954,420.83,-13.5739
16,2,221.249,570.915,77.6007
16,3,228.91,640.915,120.046
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,-99999,-99999,-99999
17,3,-99999,-99999,-99999
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-99999,-99999,-99999
19,1,-99999,-99999,-99999
19,2,-99999,-99999,-99999
19,3,-99999,-99999,-99999
20,0,-99999,-99999,-99999
20,1,-99999,-99999,-99999
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-99999,-99999,-99999
21,1,-99999,-99999,-99999
21,2,-99999,-99999,-99999
21,3,-99999,-99999,-99999
22,0,146.082,350.812,157.953
22,1,125.543,420.718,143.612
22,2,81.4744,570.718,112.84
22,3,60.9434,640.529,98.523
23,0,-99999,-99999,-99999
23,1,-99999,-99999,-99999
23,2,-99999,-99999,-99999
23,3,-99999,-99999,-99999
24,0,-229.444,350.29,37.4089
24,1,-205.457,420.822,9.83152
24,2,-156.492,570.466,-48.7432
24,3,-133.734,640.643,-76.2181
25,0,-99999,-99999,-99999
25,1,-99999,-99999,-99999
25,2,-99999,-99999,-99999
25,3,-99999,-99999,-99999
26,0,-99999,-99999,-99999
26,1,-99999,-99999,-99999
26,2,-99999,-99999,-99999
26,3,-99999,-99999,-99999
27,0,-99999,-99999,-99999
27,1,-99999,-99999,-99999
27,2,-99999,-99999,-99999
27,3,-99999,-99999,-99999
28,0,-99999,-99999,-99999
28,1,-99999,-99999,-99999
28,2,-99999,-99999,-99999
28,3,-99999,-99999,-99999
29,0,-137.371,350.522,-67.9636
29,1,-149.77,419.565,-84.9859
29,2,-176.689,570.043,-122.026
29,3,-189.372,640.809,-139.322
30,0,-154.349,350.821,-45.9363
30,1,-157.735,420.284,-80.1986
30,2,-165.17,569.925,-154.217
30,3,-168.542,640.731,-189.16
31,0,-72.2993,350.838,6.7818
31,1,-122.887,420.838,1.0106
31,2,-231.012,570.434,-11.3657
31,3,-99999,-99999,-99999
32,0,-99999,-99999,-99999
32,1,-99999,-99999,-99999
32,2,-99999,-99999,-99999
32,3,-99999,-99999,-99999
33,0,-99999,-99999,-99999
33,1,-99999,-99999,-99999
33,2,-99999,-99999,-99999
33,3,-99999,-99999,-99999
34,0,-99999,-99999,-99999
34,1,-99999,-99999,-99999
34,2,-99999,-99999,-99999
34,3,-99999,-99999,-99999
35,0,-76.0188,350.779,229.017
35,1,-17.0722,420.926,202.927
35,2,108.956,570.853,147.124
35,3,167.826,640.853,121.083
36,0,-99999,-99999,-99999
36,1,-99999,-99999,-99999
36,2,-99999,-99999,-99999
36,3,109.729,640.915,-217.511
37,0,-99999,-99999,-99999
37,1,-99999,-99999,-99999
37,2,17.4009,570.585,151.348
37,3,18.4983,640.917,103.944
38,0,-99999,-99999,-99999
38,1,217.742,420.75,2.03101
38,2,64.1344,570.937,-104.712
38,3,-7.51485,640.937,-154.355
39,0,-99999,-99999,-99999
39,1,-99999,-99999,-99999
39,2,-99999,-99999,-99999
39,3,-99999,-99999,-99999
40,0,-99999,-99999,-99999
40,1,-99999,-99999,-99999
40,2,-116.201,570.836,228.531
40,3,-114.116,640.671,180.052
41,0,-99999,-99999,-99999
41,1,-99999,-99999,-99999
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-99999,-99999,-99999
43,0,-99999,-99999,-99999
43,1,-99999,-99999,-99999
43,2,-99999,-99999,-99999
43,3,-99999,-99999,-99999
44,0,-39.2294,350.628,126.095
44,1,-41.4796,420.907,154.081
44,2,-46.1541,570.814,213.713
44,3,-48.2894,640.722,241.596
