Evento,Detector,X,Y,Z
0,0,121.493,350.914,-208.105
0,1,158.167,420.914,-187.727
0,2,249.66,595.657,-136.856
0,3,-99999,-99999,-99999
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,-99999,-99999,-99999
1,3,-99999,-99999,-99999
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,-99999,-99999,-99999
2,3,-99999,-99999,-99999
3,0,-99999,-99999,-99999
3,1,-99999,-99999,-99999
3,2,-99999,-99999,-99999
3,3,-99999,-99999,-99999
4,0,-99999,-99999,-99999
4,1,-213.13,420.516,233.831
4,2,-90.0572,595.516,196.931
4,3,-40.653,665.758,182.125
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-95.0871,665.72,236.928
6,0,17.5822,347.552,249.875
6,1,-99999,-99999,-99999
6,2,107.04,595.909,236.078
6,3,126.146,664.996,211.874
7,0,-99999,-99999,-99999
7,1,-99999,-99999,-99999
7,2,-184.734,595.855,134.167
7,3,-175.328,665.561,69.8597
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,72.5879,350.92,236.128
9,1,92.1265,420.678,188.519
9,2,141.258,595.839,69.0413
9,3,160.912,665.839,21.3277
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-223.701,595.792,-78.4937
10,3,-219.082,665.792,-5.99632
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-99999,-99999,-99999
11,3,-99999,-99999,-99999
12,0,221.425,350.911,-75.3371
12,1,211.886,420.468,-40.429
12,2,187.849,595.556,47.4839
12,3,178.309,665.113,82.4132
13,0,8.53774,350.92,71.7817
13,1,20.5244,420.521,20.8517
13,2,50.2654,595.92,-107.806
13,3,62.325,665.762,-159.314
14,0,-99999,-99999,-99999
14,1,-99999,-99999,-99999
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,32.981,350.841,-112.782
16,1,62.703,420.841,-68.5411
16,2,137.065,595.92,42.204
16,3,166.677,665.682,86.3315
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,210.445,595.807,114.698
17,3,178.779,665.422,191.598
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-99999,-99999,-99999
19,1,-99999,-99999,-99999
19,2,-99999,-99999,-99999
19,3,-99999,-99999,-99999
20,0,62.8486,350.942,-239.839
20,1,-99999,-99999,-99999
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-30.6659,350.574,157.474
21,1,29.612,420.806,214.615
21,2,-99999,-99999,-99999
21,3,-99999,-99999,-99999
22,0,-246.941,350.225,55.7264
22,1,-240.009,420.613,39.0247
22,2,-222.749,595.903,-2.62184
