Evento,Detector,X,Y,Z
0,0,134.376,350.627,-200.892
0,1,157.863,420.254,-187.802
0,2,208.652,570.72,-159.518
0,3,232.272,640.72,-146.398
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,-214.856,570.922,196.293
1,3,-160.491,640.53,205.983
2,0,166.65,349.6,-249.985
2,1,-99999,-99999,-99999
2,2,-99999,-99999,-99999
2,3,-99999,-99999,-99999
3,0,-99999,-99999,-99999
3,1,-99999,-99999,-99999
3,2,-9.5397,570.942,-134.98
3,3,67.7823,640.712,-73.4215
4,0,-99999,-99999,-99999
4,1,-99999,-99999,-99999
4,2,-101.947,570.788,-1.14597
4,3,-17.6224,640.894,-75.4517
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-99999,-99999,-99999
6,0,82.4078,350.91,126.966
6,1,104.648,420.91,101.422
6,2,152.363,570.91,46.693
6,3,174.66,640.91,21.1526
7,0,249.584,350.727,114.188
7,1,-99999,-99999,-99999
7,2,-99999,-99999,-99999
7,3,-99999,-99999,-99999
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,-99999,-99999,-99999
9,1,-99999,-99999,-99999
9,2,158.521,570.786,149.631
9,3,101.897,640.929,189.449
10,0,-116.234,350.109,-5.06159
10,1,-82.937,420.288,8.23166
10,2,-11.4631,570.644,36.6124
10,3,21.9499,640.911,49.8699
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-99999,-99999,-99999
11,3,-99999,-99999,-99999
12,0,-155.516,350.736,-157.706
12,1,-210.801,420.67,-215.139
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,28.5977,350.713,224.254
13,1,85.8186,420.712,188.102
13,2,207.841,570.639,111.011
13,3,-99999,-99999,-99999
14,0,-99999,-99999,-99999
14,1,-99999,-99999,-99999
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,185.486,350.9,-152.517
16,1,181.928,420.401,-151.856
16,2,174.105,570.9,-150.06
16,3,170.926,640.401,-148.856
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,-99999,-99999,-99999
17,3,-99999,-99999,-99999
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,117.611,350.52,166.557
19,1,130.963,420.712,150.678
19,2,159.379,570.712,116.756
19,3,172.625,640.712,100.873
20,0,3.05949,349.786,-192.035
20,1,16.158,420.813,-215.764
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-215.704,350.912,94.3667
21,1,-178.444,420.912,95.3485
21,2,-98.779,570.912,97.4899
21,3,-61.8051,640.823,98.3109
22,0,-148.792,350.709,135.981
22,1,-153.163,420.709,153.334
22,2,-162.525,570.806,190.515
22,3,-166.899,640.903,207.877
23,0,-99999,-99999,-99999
23,1,-99999,-99999,-99999
23,2,-99999,-99999,-99999
23,3,-99999,-99999,-99999
24,0,-115.629,350.763,16.9621
24,1,-138.444,419.974,65.7743
24,2,-188.088,570.763,172.444
24,3,-211.031,640.842,221.885
25,0,-99999,-99999,-99999
25,1,-99999,-99999,-99999
25,2,-99999,-99999,-99999
25,3,-99999,-99999,-99999
26,0,-99999,-99999,-99999
26,1,-99999,-99999,-99999
26,2,-99999,-99999,-99999
26,3,-99999,-99999,-99999
27,0,155.283,350.941,47.855
27,1,223.235,420.642,112.674
27,2,-99999,-99999,-99999
27,3,-99999,-99999,-99999
28,0,226.459,350.739,248.526
