Evento,Detector,X,Y,Z
0,0,-99999,-99999,-99999
0,1,-99999,-99999,-99999
0,2,-99999,-99999,-99999
0,3,-99999,-99999,-99999
1,0,-102.205,350.855,115.056
1,1,-38.7096,420.927,134.916
1,2,78.6755,550.492,171.66
1,3,142.481,620.927,191.624
2,0,91.4822,350.904,32.7235
2,1,112.769,420.904,30.5526
2,2,151.832,550.139,26.2457
2,3,173.088,620.522,23.8715
3,0,-99999,-99999,-99999
3,1,-99999,-99999,-99999
3,2,-99999,-99999,-99999
3,3,-99999,-99999,-99999
4,0,-99999,-99999,-99999
4,1,-99999,-99999,-99999
4,2,-99999,-99999,-99999
4,3,-99999,-99999,-99999
5,0,80.5737,350.82,-240.641
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-99999,-99999,-99999
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-99999,-99999,-99999
7,1,-99999,-99999,-99999
7,2,-99999,-99999,-99999
7,3,-99999,-99999,-99999
8,0,132.193,350.832,-169.547
8,1,143.017,420.58,-213.413
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,-99999,-99999,-99999
9,1,-99999,-99999,-99999
9,2,-99999,-99999,-99999
9,3,-99999,-99999,-99999
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-99999,-99999,-99999
10,3,-99999,-99999,-99999
11,0,-99999,-99999,-99999
11,1,-103.371,420.197,245.735
11,2,-93.3068,550.732,180.29
11,3,-87.9326,620.911,145.096
12,0,-99999,-99999,-99999
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,-99999,-99999,-99999
13,1,-99999,-99999,-99999
13,2,-99999,-99999,-99999
13,3,-99999,-99999,-99999
14,0,-99999,-99999,-99999
14,1,-99999,-99999,-99999
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,39.0816,350.913,-46.8495
15,1,12.2316,420.654,-16.8843
15,2,-37.6606,550.22,38.7672
15,3,-64.8904,620.913,69.1287
16,0,-99999,-99999,-99999
16,1,-99999,-99999,-99999
16,2,-99999,-99999,-99999
16,3,-212.851,620.816,-46.4525
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,-99999,-99999,-99999
17,3,-99999,-99999,-99999
18,0,-115.632,350.7,-101.856
18,1,-174.814,420.4,-84.7949
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-99999,-99999,-99999
19,1,-99999,-99999,-99999
19,2,-99999,-99999,-99999
