Evento,Detector,X,Y,Z
0,3,-154.971,620.343,117.051
0,3,-154.971,619.978,117.393
0,3,-154.971,619.905,117.461
0,3,-154.972,619.759,117.598
0,3,-154.972,619.467,117.871
0,3,-154.972,619.321,118.008
0,3,-154.972,618.81,118.486
0,3,-154.972,618.664,118.623
0,3,-154.972,618.372,118.897
0,3,-154.973,618.154,119.102
0,3,-154.973,618.081,119.17
0,3,-154.973,617.716,119.512
0,3,-154.973,617.643,119.58
0,3,-154.973,617.278,119.922
0,3,-154.973,616.767,120.401
0,3,-154.973,616.694,120.469
0,3,-154.974,616.256,120.879
0,3,-154.974,615.891,121.221
0,3,-154.974,615.599,121.494
0,3,-154.974,615.307,121.768
0,3,-154.974,615.088,121.973
0,3,-154.975,614.577,122.451
0,3,-154.975,614.212,122.793
0,3,-154.975,613.847,123.135
0,3,-154.975,613.701,123.272
0,3,-154.975,613.482,123.477
0,3,-154.976,613.19,123.75
0,3,-154.976,613.117,123.818
0,2,-155.015,550.781,182.209
0,2,-155.015,549.759,183.166
0,2,-155.016,549.248,183.644
0,2,-155.016,548.811,184.055
0,2,-155.017,548.081,184.738
0,2,-155.017,547.935,184.875
0,2,-155.017,547.57,185.217
0,2,-155.017,547.497,185.285
0,2,-155.017,547.351,185.422
0,2,-155.017,547.059,185.695
0,2,-155.018,546.475,186.242
0,2,-155.018,546.329,186.379
0,2,-155.018,546.11,186.584
0,2,-155.018,545.891,186.789
0,2,-155.018,545.599,187.063
0,2,-155.018,545.526,187.131
0,2,-155.018,545.308,187.336
0,2,-155.019,545.016,187.61
0,2,-155.019,544.651,187.951
0,2,-155.019,544.578,188.02
0,2,-155.02,543.483,189.045
0,2,-155.02,543.019,189.48
1,1,-246.183,420.93,-190.361
1,1,-246.053,420.79,-190.421
1,1,-244.887,419.528,-190.958
1,1,-244.822,419.458,-190.987
1,1,-244.368,418.968,-191.196
1,1,-244.174,418.757,-191.286
1,1,-243.785,418.337,-191.465
1,1,-243.72,418.267,-191.494
1,1,-243.591,418.127,-191.554
1,1,-243.137,417.636,-191.763
1,1,-242.943,417.426,-191.852
1,1,-242.684,417.146,-191.972
1,1,-242.424,416.865,-192.091
1,1,-242.295,416.725,-192.151
1,1,-242.23,416.655,-192.181
1,1,-242.1,416.515,-192.24
1,1,-241.582,415.954,-192.479
1,1,-241.323,415.674,-192.598
1,1,-241.128,415.464,-192.688
1,1,-240.74,415.043,-192.867
1,1,-240.48,414.763,-192.986
1,1,-243.245,417.752,-191.714
1,0,-181.1,350.51,-220.399
1,0,-181.036,350.439,-220.429
1,0,-180.777,350.159,-220.548
1,0,-180.712,350.089,-220.578
1,0,-180.453,349.809,-220.698
1,0,-180.064,349.389,-220.877
1,0,-179.74,349.038,-221.027
1,0,-179.675,348.968,-221.057
1,0,-179.61,348.898,-221.087
1,0,-179.222,348.478,-221.266
1,0,-178.703,347.917,-221.505
